inner,gai,sphere,edeg,fenye,aliasing,texture,reliability,avg_e
0.44,0.5,0.45,0.47,0.38,0.38,0.42,0.84,0.58
0.44,0.37,0.45,0.37,0.47,0.58,0.42,0.92,0.75
0.44,0.5,0.47,0.5,0.63,0.38,0.42,0.69,0.75
0.44,0.5,0.47,0.5,0.53,0.38,0.51,0.78,0.58
0.44,0.5,0.47,0.5,0.47,0.38,0.42,0.82,0.88
0.44,0.5,0.47,0.47,0.63,0.63,0.42,0.81,0.88
0.44,0.5,0.47,0.5,0.53,0.58,0.51,0.69,0.75
0.44,0.5,0.47,0.5,0.63,0.63,0.51,0.84,0.58
0.44,0.5,0.47,0.37,0.61,0.63,0.42,0.54,0.58
0.44,0.5,0.41,0.37,0.61,0.63,0.42,0.72,0.75
0.44,0.5,0.45,0.5,0.63,0.5,0.42,0.86,0.58
0.44,0.5,0.47,0.37,0.63,0.63,0.42,0.74,0.75
0.44,0.5,0.47,0.5,0.53,0.63,0.51,0.61,0.58
0.44,0.5,0.45,0.5,0.38,0.38,0.42,0.96,0.5
0.44,0.5,0.47,0.47,0.53,0.38,0.42,0.92,0.5
0.44,0.5,0.47,0.47,0.47,0.5,0.51,0.92,0.5
0.44,0.5,0.43,0.47,0.38,0.38,0.42,0.72,0.25
0.44,0.5,0.45,0.5,0.38,0.38,0.51,0.71,0.25
0.44,0.5,0.45,0.47,0.38,0.38,0.42,0.81,0.38
0.44,0.5,0.41,0.5,0.38,0.38,0.42,0.81,0.63
0.44 ,0.50 ,0.45 ,0.50 ,0.53 ,0.50 ,0.42 ,0.82 ,0.38 
0.44 ,0.50 ,0.41 ,0.50 ,0.63 ,0.58 ,0.48 ,0.82 ,0.63 
0.44 ,0.50 ,0.41 ,0.37 ,0.38 ,0.38 ,0.42 ,0.81 ,0.63 
0.44 ,0.50 ,0.47 ,0.47 ,0.47 ,0.50 ,0.42 ,0.58 ,0.63 
0.44 ,0.50 ,0.47 ,0.47 ,0.47 ,0.50 ,0.42 ,0.81 ,0.63 
0.44 ,0.50 ,0.41 ,0.37 ,0.47 ,0.38 ,0.42 ,0.81 ,0.63 
0.44 ,0.50 ,0.47 ,0.37 ,0.47 ,0.38 ,0.42 ,0.69 ,0.50 
0.44 ,0.50 ,0.45 ,0.47 ,0.38 ,0.50 ,0.42 ,0.69 ,0.50 
0.44 ,0.50 ,0.45 ,0.37 ,0.38 ,0.38 ,0.42 ,0.71 ,0.25 
0.44 ,0.50 ,0.47 ,0.37 ,0.38 ,0.38 ,0.42 ,0.64 ,0.33 
0.44 ,0.50 ,0.45 ,0.47 ,0.47 ,0.38 ,0.42 ,0.71 ,0.25 
0.44 ,0.50 ,0.47 ,0.50 ,0.53 ,0.50 ,0.42 ,0.78 ,0.33 
0.44 ,0.50 ,0.47 ,0.50 ,0.47 ,0.50 ,0.51 ,0.82 ,0.33 
0.44 ,0.50 ,0.41 ,0.37 ,0.38 ,0.38 ,0.42 ,0.96 ,0.00 
0.44 ,0.50 ,0.43 ,0.50 ,0.53 ,0.50 ,0.42 ,0.77 ,0.42 
0.44 ,0.50 ,0.45 ,0.47 ,0.38 ,0.58 ,0.42 ,0.56 ,0.42 
0.44 ,0.50 ,0.45 ,0.50 ,0.38 ,0.38 ,0.42 ,0.74 ,0.25 
0.44 ,0.50 ,0.45 ,0.47 ,0.38 ,0.38 ,0.42 ,0.71 ,0.25 
0.44 ,0.50 ,0.45 ,0.47 ,0.38 ,0.50 ,0.42 ,0.71 ,0.25 
0.44 ,0.14 ,0.41 ,0.50 ,0.38 ,0.38 ,0.42 ,0.94 ,0.00 
0.44 ,0.50 ,0.43 ,0.50 ,0.53 ,0.58 ,0.42 ,0.71 ,0.25 
0.44 ,0.50 ,0.45 ,0.47 ,0.38 ,0.38 ,0.42 ,0.71 ,0.25 
0.44 ,0.50 ,0.47 ,0.50 ,0.47 ,0.50 ,0.42 ,0.71 ,0.25 
0.44 ,0.50 ,0.45 ,0.50 ,0.63 ,0.58 ,0.51 ,0.63 ,0.42 
0.44 ,0.50 ,0.47 ,0.50 ,0.38 ,0.38 ,0.42 ,0.86 ,0.42 
0.44 ,0.50 ,0.47 ,0.50 ,0.53 ,0.38 ,0.51 ,0.84 ,0.42 
0.44 ,0.50 ,0.47 ,0.47 ,0.38 ,0.38 ,0.51 ,0.84 ,0.42 
0.44 ,0.50 ,0.41 ,0.50 ,0.38 ,0.38 ,0.42 ,0.75 ,0.25 
0.44 ,0.50 ,0.45 ,0.47 ,0.38 ,0.38 ,0.48 ,0.72 ,0.25 
0.44 ,0.50 ,0.47 ,0.47 ,0.63 ,0.38 ,0.42 ,0.55 ,0.67 
0.44 ,0.50 ,0.47 ,0.50 ,0.63 ,0.63 ,0.42 ,0.84 ,0.67 
0.44 ,0.50 ,0.47 ,0.37 ,0.38 ,0.63 ,0.42 ,0.61 ,0.67 
0.44 ,0.50 ,0.47 ,0.37 ,0.38 ,0.38 ,0.42 ,0.61 ,0.58 
0.44 ,0.50 ,0.41 ,0.37 ,0.38 ,0.38 ,0.42 ,0.54 ,0.58 
0.44 ,0.50 ,0.47 ,0.47 ,0.47 ,0.50 ,0.42 ,0.84 ,0.58 
0.44 ,0.50 ,0.43 ,0.47 ,0.38 ,0.38 ,0.42 ,0.72 ,0.25 
0.44 ,0.50 ,0.45 ,0.50 ,0.38 ,0.38 ,0.51 ,0.71 ,0.25 
0.44 ,0.50 ,0.45 ,0.50 ,0.53 ,0.58 ,0.42 ,0.81 ,0.88 
0.44 ,0.50 ,0.41 ,0.47 ,0.38 ,0.63 ,0.51 ,0.81 ,0.88 
0.44 ,0.50 ,0.47 ,0.50 ,0.47 ,0.50 ,0.42 ,0.69 ,0.75 
0.44 ,0.50 ,0.41 ,0.37 ,0.38 ,0.38 ,0.42 ,0.69 ,0.75 
0.44 ,0.50 ,0.47 ,0.37 ,0.38 ,0.38 ,0.42 ,0.71 ,0.75 
0.44 ,0.50 ,0.43 ,0.50 ,0.53 ,0.50 ,0.51 ,0.84 ,0.38 
0.44 ,0.50 ,0.47 ,0.50 ,0.53 ,0.58 ,0.51 ,0.69 ,0.75 
0.44 ,0.50 ,0.41 ,0.37 ,0.38 ,0.38 ,0.42 ,0.84 ,0.38 
0.44 ,0.03 ,0.43 ,0.37 ,0.38 ,0.38 ,0.42 ,0.98 ,0.00 
0.44 ,0.03 ,0.41 ,0.37 ,0.38 ,0.38 ,0.42 ,0.92 ,0.00 
0.44 ,0.50 ,0.41 ,0.50 ,0.38 ,0.38 ,0.51 ,0.88 ,0.42 
0.44 ,0.50 ,0.41 ,0.50 ,0.47 ,0.50 ,0.51 ,0.94 ,0.50 
0.44 ,0.50 ,0.41 ,0.37 ,0.38 ,0.38 ,0.42 ,0.96 ,0.50 
0.44 ,0.50 ,0.41 ,0.47 ,0.38 ,0.38 ,0.42 ,0.92 ,0.42 
0.44 ,0.50 ,0.41 ,0.37 ,0.38 ,0.38 ,0.42 ,0.80 ,0.42 
0.44 ,0.50 ,0.45 ,0.50 ,0.47 ,0.63 ,0.51 ,0.71 ,0.50 
0.44 ,0.50 ,0.45 ,0.50 ,0.47 ,0.38 ,0.51 ,0.98 ,0.50 
0.44 ,0.50 ,0.45 ,0.47 ,0.47 ,0.50 ,0.51 ,0.96 ,0.50 
0.44 ,0.50 ,0.45 ,0.47 ,0.38 ,0.58 ,0.51 ,1.00 ,0.50 
0.44 ,0.50 ,0.41 ,0.37 ,0.38 ,0.38 ,0.42 ,0.72 ,0.50 
0.44 ,0.50 ,0.45 ,0.50 ,0.38 ,0.50 ,0.46 ,0.84 ,0.38 
0.44 ,0.50 ,0.45 ,0.50 ,0.47 ,0.38 ,0.51 ,0.96 ,0.50 
0.44 ,0.50 ,0.43 ,0.47 ,0.47 ,0.38 ,0.42 ,0.96 ,0.50 
0.44 ,0.50 ,0.41 ,0.50 ,0.38 ,0.38 ,0.48 ,0.88 ,0.38 
0.44 ,0.50 ,0.45 ,0.47 ,0.47 ,0.50 ,0.42 ,0.86 ,0.63 
0.44 ,0.50 ,0.45 ,0.47 ,0.53 ,0.50 ,0.42 ,0.81 ,0.63 
0.44 ,0.03 ,0.41 ,0.37 ,0.38 ,0.38 ,0.42 ,0.96 ,0.00 
0.44 ,0.50 ,0.45 ,0.47 ,0.53 ,0.50 ,0.42 ,0.94 ,0.50 
0.44 ,0.50 ,0.47 ,0.37 ,0.38 ,0.38 ,0.42 ,0.69 ,0.50 
0.44 ,0.50 ,0.45 ,0.50 ,0.63 ,0.63 ,0.42 ,0.94 ,0.75 
0.44 ,0.03 ,0.41 ,0.37 ,0.38 ,0.38 ,0.42 ,0.92 ,0.00 
0.44 ,0.03 ,0.41 ,0.37 ,0.38 ,0.38 ,0.42 ,0.92 ,0.00 
0.44 ,0.03 ,0.43 ,0.37 ,0.38 ,0.38 ,0.42 ,0.92 ,0.00 
0.44 ,0.50 ,0.41 ,0.37 ,0.38 ,0.38 ,0.42 ,0.72 ,0.50 
0.44 ,0.03 ,0.41 ,0.37 ,0.38 ,0.38 ,0.42 ,0.92 ,0.00 
0.44 ,0.03 ,0.41 ,0.37 ,0.38 ,0.38 ,0.42 ,0.92 ,0.00 
0.44 ,0.03 ,0.41 ,0.37 ,0.38 ,0.38 ,0.42 ,0.92 ,0.00 
0.44 ,0.50 ,0.41 ,0.47 ,0.38 ,0.63 ,0.51 ,0.92 ,0.75 
0.44 ,0.50 ,0.41 ,0.37 ,0.38 ,0.38 ,0.42 ,0.94 ,0.50 
0.44 ,0.50 ,0.41 ,0.37 ,0.38 ,0.38 ,0.42 ,0.86 ,0.42 
0.44 ,0.50 ,0.47 ,0.47 ,0.38 ,0.38 ,0.42 ,0.94 ,0.50 
0.44 ,0.50 ,0.41 ,0.37 ,0.38 ,0.38 ,0.42 ,0.82 ,0.63 
0.44 ,0.50 ,0.41 ,0.37 ,0.38 ,0.38 ,0.42 ,0.94 ,0.50 
